label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
open_hand,0,0,0,0.11894691,0.52894415,-0.12219788,0.42662324,0.93195707,-0.15349839,0.68085398,1.23725118,-0.18190662,0.79951915,1.51392083,-0.20868891,0.88999165,0.59398834,-0.06575591,1.20454639,0.80628703,-0.14229666,1.4029107,0.91760717,-0.21356176,1.57550726,0.98759817,-0.2703103,0.96861423,0.24856886,-0.0744541,1.38058795,0.30203349,-0.14054671,1.62612422,0.31811774,-0.20493411,1.82552846,0.29830806,-0.25234421,0.94924561,-0.06727222,-0.10254016,1.3236202,-0.14322419,-0.18075571,1.54734878,-0.21129736,-0.24543627,1.7406092,-0.28254768,-0.28999396,0.84749454,-0.36171187,-0.14420167,1.11092758,-0.51783869,-0.22054688,1.27722264,-0.6176477,-0.25770757,1.43614448,-0.69890684,-0.28092734
open_hand,0,0,0,0.12017759,0.53330619,-0.13276837,0.41917761,0.94545988,-0.17296289,0.67126906,1.25313168,-0.20820049,0.80077243,1.53905087,-0.24198679,0.88193344,0.61251181,-0.08574967,1.20798454,0.82634243,-0.16698184,1.41317454,0.93446778,-0.23795949,1.58967944,1.00026873,-0.29423024,0.96428656,0.26486114,-0.09190731,1.38373121,0.3138637,-0.16545662,1.63369005,0.32905114,-0.23321652,1.83384668,0.30597454,-0.28183324,0.94514256,-0.0529741,-0.11734568,1.32636465,-0.12831723,-0.20375118,1.56255278,-0.200383,-0.27548472,1.76648753,-0.27723386,-0.32376814,0.84075723,-0.35054927,-0.15608973,1.10944822,-0.50835707,-0.24304768,1.28338432,-0.61734126,-0.28806863,1.44847921,-0.70972693,-0.3151378
open_hand,0,0,0,0.12524044,0.53862004,-0.12875771,0.43000451,0.93841075,-0.16679284,0.6917559,1.22564896,-0.2003504,0.8251455,1.50981463,-0.23251971,0.88937427,0.60447356,-0.08084828,1.21282802,0.8093274,-0.16390077,1.41748505,0.91609391,-0.23795525,1.59553017,0.9796901,-0.29645309,0.9665404,0.25651444,-0.08963507,1.38780594,0.30575083,-0.16329675,1.63954303,0.31623939,-0.23155276,1.8432503,0.28987296,-0.28147963,0.94451919,-0.06095506,-0.11778482,1.326034,-0.12551801,-0.20398587,1.56299606,-0.19244527,-0.27339389,1.7691906,-0.26473177,-0.32089394,0.83979131,-0.36165455,-0.15919425,1.11113856,-0.51110061,-0.24476962,1.28508885,-0.61360965,-0.28699991,1.45117911,-0.70278662,-0.31313341
open_hand,0,0,0,0.1230545,0.53595546,-0.13109482,0.41688123,0.94044014,-0.1666221,0.6780284,1.22829871,-0.19662384,0.8215494,1.4915428,-0.22400341,0.88669249,0.60789538,-0.06628085,1.20839244,0.81802352,-0.14236828,1.41554013,0.91910097,-0.2128552,1.59167542,0.98057202,-0.26866063,0.96588711,0.25896347,-0.07003937,1.38194459,0.3008117,-0.13673152,1.63126313,0.3110295,-0.20416927,1.83117957,0.292447,-0.25338655,0.9449941,-0.05944943,-0.09386817,1.32160729,-0.13138404,-0.1747138,1.55059019,-0.19620039,-0.24482539,1.74805782,-0.25897282,-0.29249984,0.84012277,-0.35847598,-0.1311677,1.10084696,-0.50674963,-0.21308807,1.26816478,-0.60635895,-0.25485109,1.42719357,-0.6885137,-0.27990663
open_hand,0,0,0,0.12132399,0.54250979,-0.13207057,0.42355733,0.95960528,-0.16708592,0.67878505,1.25596686,-0.19665919,0.80227288,1.53447693,-0.22478135,0.88620137,0.61828919,-0.07335167,1.20898872,0.83530951,-0.14912186,1.41753692,0.9349914,-0.21779457,1.59305272,0.99451227,-0.27322029,0.96373221,0.26687117,-0.07834524,1.38355278,0.31436592,-0.14801006,1.63566848,0.33089228,-0.21588489,1.83693743,0.31524738,-0.26482622,0.94188896,-0.05134423,-0.10300121,1.32652352,-0.12510465,-0.18748754,1.5605777,-0.18635157,-0.2613339,1.76318842,-0.24505441,-0.31140405,0.8348215,-0.35025318,-0.1409535,1.09792942,-0.51000927,-0.22831236,1.26912132,-0.61352065,-0.27477601,1.43399256,-0.69494583,-0.30315623
open_hand,0,0,0,0.11609024,0.54297855,-0.12623587,0.42329598,0.96565384,-0.15698473,0.66462508,1.26794286,-0.18421176,0.76754003,1.55061937,-0.21135116,0.8798008,0.62161462,-0.07498378,1.19723708,0.84200013,-0.1504901,1.40241715,0.95433086,-0.21891571,1.57761787,1.02285204,-0.2747961,0.96218519,0.27239615,-0.08375931,1.38035392,0.32387099,-0.1543324,1.63345488,0.34703494,-0.22251932,1.83886902,0.33008056,-0.2716748,0.94255653,-0.04275872,-0.11155098,1.32484626,-0.12909144,-0.1965931,1.5613977,-0.19767091,-0.27501939,1.76785859,-0.26972275,-0.32805145,0.83562352,-0.33859757,-0.15221169,1.10162849,-0.52965746,-0.24127174,1.27525272,-0.65904484,-0.29253282,1.44323606,-0.76791022,-0.32441172
open_hand,0,0,0,0.11151918,0.5387801,-0.12596464,0.41842148,0.95012552,-0.16084118,0.66079793,1.25335628,-0.19206881,0.75999819,1.5390767,-0.22406666,0.87612567,0.63200545,-0.09170385,1.19169355,0.85149356,-0.17216734,1.39310625,0.96996297,-0.2421358,1.56567571,1.04317132,-0.29957444,0.96144545,0.27499574,-0.10344567,1.38043235,0.32635455,-0.17735635,1.62889032,0.34462407,-0.24491418,1.82927406,0.32477918,-0.29451796,0.94022896,-0.04835002,-0.13334033,1.32542073,-0.14263215,-0.22193205,1.5664337,-0.22854813,-0.30101341,1.77827131,-0.31437865,-0.3556333,0.82733947,-0.35196328,-0.17557812,1.09271122,-0.56475066,-0.26867512,1.26684872,-0.70484057,-0.32183612,1.43842843,-0.81985336,-0.35573518
open_hand,0,0,0,0.11453158,0.54859979,-0.13040236,0.42282141,0.96095049,-0.16588975,0.67359949,1.24978848,-0.19618244,0.78685853,1.53196748,-0.22604162,0.88475393,0.61480488,-0.09143296,1.20407749,0.84662961,-0.17296808,1.41073309,0.96972413,-0.24238801,1.58543464,1.04876055,-0.29818155,0.96698759,0.25482348,-0.09966878,1.38991763,0.30557577,-0.17654908,1.64611779,0.33012354,-0.24421126,1.8536348,0.31877699,-0.29242693,0.94428693,-0.06973125,-0.12679165,1.3339337,-0.16332085,-0.21832369,1.57546139,-0.24049118,-0.29792636,1.78622574,-0.31430835,-0.3509836,0.83128602,-0.3711742,-0.16649447,1.10063676,-0.57979784,-0.26240323,1.27818044,-0.72037021,-0.3172439,1.45111127,-0.83549348,-0.35080239
open_hand,0,0,0,0.11567776,0.54720666,-0.12797531,0.42780977,0.95564393,-0.16042698,0.67948453,1.23859177,-0.18842743,0.78901299,1.5194031,-0.21604412,0.88634816,0.6111897,-0.0843883,1.20444432,0.83899551,-0.1627889,1.4100925,0.95493151,-0.23124006,1.5828656,1.02514158,-0.28696942,0.96668613,0.25596471,-0.09313452,1.38770438,0.30526668,-0.16699701,1.64207849,0.32376303,-0.23469284,1.84426421,0.30529002,-0.28373708,0.94401271,-0.06455927,-0.12073645,1.33287286,-0.15082857,-0.20990942,1.57234647,-0.22719089,-0.28999719,1.77825654,-0.30245387,-0.34441897,0.83275229,-0.36627371,-0.160751,1.09766391,-0.57396095,-0.25571233,1.27395041,-0.7121728,-0.31138718,1.44305866,-0.82487018,-0.34613368
open_hand,0,0,0,0.1140438,0.55434781,-0.12842118,0.42517527,0.96199664,-0.15923714,0.67950436,1.24251553,-0.18527757,0.79481607,1.5163977,-0.21070192,0.88503377,0.61377361,-0.08056931,1.20387854,0.83925509,-0.15619624,1.40976871,0.95049805,-0.22293981,1.58224977,1.01474457,-0.27766158,0.96573225,0.2595404,-0.08756129,1.38980415,0.30555924,-0.15893777,1.645167,0.32135336,-0.22550814,1.84692569,0.29874527,-0.27395913,0.94482244,-0.05996413,-0.1136845,1.33434475,-0.14862122,-0.20151955,1.57268931,-0.22763298,-0.28204704,1.77681506,-0.30704755,-0.33679441,0.83720975,-0.3605042,-0.15224617,1.10247355,-0.56534011,-0.24733333,1.27795237,-0.70550718,-0.30410342,1.44619305,-0.82246945,-0.33958064
open_hand,0,0,0,0.14400905,0.55198379,-0.12095495,0.47807193,0.94066516,-0.14450559,0.74114872,1.20874838,-0.16529083,0.8611278,1.45966806,-0.18657954,0.91062886,0.5578837,-0.06496459,1.2333076,0.72585827,-0.13512206,1.43832988,0.81136454,-0.2011592,1.61386093,0.8593373,-0.25717281,0.98037977,0.197118,-0.07527932,1.39873345,0.19332588,-0.14145061,1.64955659,0.18055061,-0.20772727,1.84876838,0.13600745,-0.25725665,0.94719223,-0.12270793,-0.10494331,1.32755966,-0.24591842,-0.18882875,1.56392205,-0.349051,-0.26767637,1.77072087,-0.45105298,-0.32278936,0.82763195,-0.4172305,-0.14698036,1.08718868,-0.62648591,-0.23670942,1.25760014,-0.76773429,-0.2900403,1.42481146,-0.88607239,-0.32529246
